Model,Type,Accuracy,Precision_Pos,Recall_Pos,F1_Pos,F1_Weighted,ROC_AUC,PR_AUC,Model_ID,Domain
Logistic Regression,Baseline,0.6939058171745153,0.3271656854499579,0.5605187319884726,0.4131704726500265,0.7199436653175959,0.7020557354237575,0.3882226916658157,,
Random Forest,Baseline,0.7008310249307479,0.312621359223301,0.4639769452449567,0.3735498839907192,0.720839478962016,0.6776144139656788,0.3744272431038492,,
Linear SVM,Baseline,0.810803324099723,0.6666666666666666,0.031700288184438,0.0605226960110041,0.7344233002021959,0.6911934749350696,0.3666343732365285,,
DistilBERT,Transformer,0.6706371191135734,0.3129251700680272,0.5965417867435159,0.4105106593951413,0.7020842732867224,0.7013782648055249,0.4011520619153645,distilbert-base-uncased,General English
PubMedBERT,Transformer,0.7077562326869806,0.3398402839396628,0.5518731988472623,0.4206479956068094,0.7307823239364183,0.7067357676814395,0.3980280638606829,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,Biomedical (pre-trained from scratch on PubMed + PMC)
BioBERT,Transformer,0.6509695290858726,0.2909896602658788,0.5677233429394812,0.384765625,0.6849398648740931,0.6787731802674699,0.3651635382174004,dmis-lab/biobert-base-cased-v1.2,Biomedical (BERT-base-cased + continued pretraining on PubMed + PMC)
