Model,Type,Accuracy,Precision_Pos,Recall_Pos,F1_Pos,F1_Weighted,ROC_AUC,PR_AUC
Logistic Regression,Baseline,0.6939058171745153,0.32716568544995794,0.5605187319884726,0.41317047265002654,0.7199436653175959,0.7020557354237575,0.3882226916658157
Random Forest,Baseline,0.7008310249307479,0.312621359223301,0.46397694524495675,0.37354988399071926,0.720839478962016,0.6776144139656788,0.3744272431038492
Linear SVM,Baseline,0.810803324099723,0.6666666666666666,0.03170028818443804,0.06052269601100413,0.7344233002021959,0.6911934749350696,0.3666343732365285
